 0.          0.          0.          0.        
  0.          0.          0.          1.        
  0.          0.          1.          0.        
  0.          0.          1.          1.        
  1.          0.          0.          0.        
  1.          0.          0.          1.        
  1.          0.          1.          0.        
  1.          0.          1.          1.        
  1.          1.          0.          0.        
  1.          1.          0.          1.        
  1.          1.          1.          0.        
  1.          1.          1.          1.        
  0.          0.          0.          0.22209883
  0.          0.          0.49803922  1.        
  0.2         0.          0.49803922  0.6662965 
  0.2         0.          1.          0.44419767
  0.2         0.          1.          0.72182121
  0.2         0.          1.          0.83287063
  0.2         0.2         0.24705882  0.22209883
  0.2         0.2         0.49803922  0.33314825
  0.2         0.2         1.          0.11104942
  0.2         0.2         1.          0.72182121
  0.2         0.2         1.          0.94392004
  1.          0.          0.05882353  1.        
  1.          0.          0.12156863  0.83287063
  1.          0.          0.24705882  0.44419767
  1.          0.          0.49803922  0.16657413
  1.          0.          0.49803922  0.99944475
  1.          0.          1.          0.94392004
  1.          0.          1.          0.99944475
  1.          0.2         0.49803922  0.72182121
  1.          0.2         1.          0.44419767
  1.          0.2         1.          0.49972238
  1.          0.2         1.          0.72182121
  1.          0.2         1.          0.83287063
  1.          0.2         1.          0.94392004
  1.          0.2         1.          1.        
  1.          1.          0.05882353  0.16657413
  1.          1.          0.24705882  0.33314825
  1.          1.          0.49803922  0.        
  1.          1.          0.49803922  0.33314825
  1.          1.          0.49803922  1.        
  1.          1.          1.          0.6662965 
